# Logfile LoRaWAN TTN/TTS V3 logger version hka-log V 1.1
date_time;device_id;tmp;hum;CO2;VOC;vis;IR;WIFI;BLE;rssi;channel_rssi;snr;gateway;channel_index;spreading_factor;bandwidth;f_cnt
2023-01-25 00:06:06; hka-aqm-n002;  21.31;  26.12;   456;   877;     7;     1;     1;     1;  -113;  -113;   3.0; drag-lps8-01; 3; 7; 125000; 886
2023-01-25 00:21:12; hka-aqm-n002;  21.31;  26.15;   452;   819;     7;     1;     1;     1;  -113;  -113;   3.5; drag-lps8-01; 6; 7; 125000; 887
2023-01-25 00:36:18; hka-aqm-n002;  21.32;  26.15;   445;   824;     9;     3;     0;     0;  -113;  -113;   3.0; drag-lps8-01; 3; 7; 125000; 888
2023-01-25 00:51:25; hka-aqm-n002;  21.32;  26.15;   446;   805;     7;     1;     1;     1;  -113;  -113;   2.2; drag-lps8-01; 7; 7; 125000; 889
2023-01-25 01:06:31; hka-aqm-n002;  21.30;  26.22;   453;   812;     7;     1;     1;     1;  -114;  -114;   1.0; drag-lps8-01; 2; 7; 125000; 890
2023-01-25 01:21:37; hka-aqm-n002;  21.32;  26.22;   444;   818;     7;     1;     0;     0;  -113;  -113;   3.2; drag-lps8-01; 5; 7; 125000; 891
2023-01-25 01:36:46; hka-aqm-n002;  21.32;  26.22;   448;   840;     7;     1;     1;     1;  -115;  -115;   3.5; drag-lps8-01; 0; 7; 125000; 892
2023-01-25 01:51:52; hka-aqm-n002;  21.32;  26.29;   450;   808;     7;     1;     1;     1;  -114;  -114;   1.2; drag-lps8-01; 1; 7; 125000; 893
2023-01-25 02:06:58; hka-aqm-n002;  21.32;  26.29;   441;   820;     7;     1;     1;     0;  -113;  -113;   4.8; drag-lps8-01; 4; 7; 125000; 894
2023-01-25 02:22:06; hka-aqm-n002;  21.30;  26.29;   449;   809;     7;     1;     1;     1;  -113;  -113;   3.0; drag-lps8-01; 3; 7; 125000; 895
2023-01-25 02:37:12; hka-aqm-n002;  21.32;  26.29;   447;   805;     7;     1;     1;     1;  -115;  -115;   1.5; drag-lps8-01; 1; 7; 125000; 896
2023-01-25 02:52:18; hka-aqm-n002;  21.31;  26.36;   441;   799;     7;     1;     1;     0;  -113;  -113;   4.5; drag-lps8-01; 4; 7; 125000; 897
2023-01-25 03:07:26; hka-aqm-n002;  21.31;  26.36;   438;   796;     9;     3;     1;     1;  -115;  -115;   2.5; drag-lps8-01; 0; 7; 125000; 898
2023-01-25 03:22:32; hka-aqm-n002;  21.32;  26.36;   439;   793;     7;     1;     1;     1;  -114;  -114;   2.8; drag-lps8-01; 7; 7; 125000; 899
2023-01-25 03:37:39; hka-aqm-n002;  21.31;  26.36;   444;   803;     7;     1;     0;     0;  -113;  -113;   3.8; drag-lps8-01; 6; 7; 125000; 900
2023-01-25 03:52:45; hka-aqm-n002;  21.30;  26.36;   440;   797;     7;     1;     1;     1;  -114;  -114;   0.2; drag-lps8-01; 2; 7; 125000; 901
2023-01-25 04:07:51; hka-aqm-n002;  21.30;  26.42;   446;   784;     7;     1;     1;     1;  -112;  -112;   3.5; drag-lps8-01; 5; 7; 125000; 902
2023-01-25 04:22:57; hka-aqm-n002;  21.31;  26.42;   439;   699;     9;     3;     0;     0;  -113;  -113;   4.0; drag-lps8-01; 4; 7; 125000; 903
2023-01-25 04:38:05; hka-aqm-n002;  21.31;  26.42;   437;   780;     7;     1;     1;     1;  -115;  -115; nan; drag-lps8-01; 2; 7; 125000; 904
2023-01-25 04:53:11; hka-aqm-n002;  21.31;  26.42;   446;   763;     9;     2;     1;     1;  -114;  -114;   1.2; drag-lps8-01; 1; 7; 125000; 905
2023-01-25 05:08:18; hka-aqm-n002;  21.30;  26.49;   444;   778;     7;     1;     1;     0;  -113;  -113;   3.8; drag-lps8-01; 6; 7; 125000; 906
2023-01-25 05:23:26; hka-aqm-n002;  21.23;  26.42;   440;   817;     7;     1;     1;     1;  -115;  -115;   3.0; drag-lps8-01; 0; 7; 125000; 907
2023-01-25 05:38:32; hka-aqm-n002;  21.08;  26.59;   451;   693;    77;    12;     1;     1;  -115;  -115;   3.0; drag-lps8-01; 7; 7; 125000; 908
2023-01-25 05:53:39; hka-aqm-n002;  21.06;  26.63;   463;   676;    71;     8;     2;     0;  -114;  -114;   3.0; drag-lps8-01; 3; 7; 125000; 909
2023-01-25 05:59:25; hka-aqm-n002;  21.08;  26.63;   457;   676;     7;     1;     2;     1;  -111;  -111;   2.8; drag-lps8-01; 5; 7; 125000; 910
2023-01-25 06:14:31; hka-aqm-n002;  21.06;  26.70;   463;   697;    10;     3;     2;     0;  -114;  -114;   0.8; drag-lps8-01; 2; 7; 125000; 911
2023-01-25 06:18:06; hka-aqm-n002;  21.05;  26.73;   458;   711;    66;    13;     2;     0;  -113;  -113;   3.0; drag-lps8-01; 4; 7; 125000; 912
2023-01-25 06:26:44; hka-aqm-n002;  21.07;  26.83;   464;   731;     7;     1;     2;     0;  -115;  -115;   3.5; drag-lps8-01; 7; 7; 125000; 913
2023-01-25 06:41:50; hka-aqm-n002;  21.16;  26.63;   464;   765;     7;     1;     1;     0;  -113;  -113;   2.8; drag-lps8-01; 3; 7; 125000; 914
2023-01-25 06:49:25; hka-aqm-n002;  21.20;  26.63;   456;   781;    63;    14;     1;     0;  -117;  -117; nan; drag-lps8-01; 1; 7; 125000; 915
2023-01-25 06:50:44; hka-aqm-n002;  21.17;  26.70;   461;   756;     8;     1;     1;     0;  -112;  -112;   2.5; drag-lps8-01; 5; 7; 125000; 916
2023-01-25 07:05:50; hka-aqm-n002;  21.24;  26.49;   464;   794;    10;     3;     1;     0;  -117;  -117;   1.8; drag-lps8-01; 0; 7; 125000; 917
2023-01-25 07:20:57; hka-aqm-n002;  21.28;  26.42;   455;   793;     7;     1;     1;     0;  -114;  -114;   3.2; drag-lps8-01; 6; 7; 125000; 918
2023-01-25 07:36:03; hka-aqm-n002;  21.30;  26.42;   453;   783;     7;     1;     1;     0;  -113;  -113;   2.2; drag-lps8-01; 4; 7; 125000; 919
2023-01-25 07:51:09; hka-aqm-n002;  21.28;  26.42;   462;   788;     8;     1;     1;     1;  -115;  -115;   0.2; drag-lps8-01; 1; 7; 125000; 920
2023-01-25 08:06:15; hka-aqm-n002;  21.28;  26.36;   461;   795;     8;     1;     0;     0;  -116;  -116;  -0.2; drag-lps8-01; 2; 7; 125000; 921
2023-01-25 08:21:22; hka-aqm-n002;  21.32;  26.80;   507;   821;    78;     9;     1;     0;  -114;  -114;   1.2; drag-lps8-01; 5; 7; 125000; 922
2023-01-25 08:36:28; hka-aqm-n002;  21.43;  26.36;   484;   824;    85;    10;     1;     3;  -115;  -115;   1.8; drag-lps8-01; 3; 7; 125000; 923
2023-01-25 08:51:34; hka-aqm-n002;  21.55;  26.97;   544;   864;    85;    11;     4;     9;  -114;  -114;   4.5; drag-lps8-01; 0; 7; 125000; 924
2023-01-25 09:06:41; hka-aqm-n002;  21.78;  27.31;   612;  1085;    91;    15;     0;     8;  -112;  -112;   3.2; drag-lps8-01; 6; 7; 125000; 925
2023-01-25 09:36:53; hka-aqm-n002;  21.95;  27.11;   625;  1128;    98;    15;     4;     9;  -114;  -114;   3.8; drag-lps8-01; 4; 7; 125000; 927
