# Logfile LoRaWAN TTN/TTS V3 logger version hka-log V 1.0
date_time;device_id;tmp;hum;CO2;VOC;vis;IR;rssi;channel_rssi;snr;gateway;channel_index;spreading_factor;bandwidth;f_cnt
2022-05-05 00:10:35; hka-aqm-n005;  21.98;  44.03;   471;   764;    13;     2;   -98;   -98;   8.2; drag-outd-01; 1; 8; 125000; 1372
2022-05-05 00:25:41; hka-aqm-n005;  21.93;  44.36;   470;   780;    12;     1;  -116;  -116;  -3.2; drag-lps8-02; 0; 8; 125000; 1373
2022-05-05 00:40:47; hka-aqm-n005;  21.95;  44.33;   473;   803;    13;     2;  -106;  -106;   6.2; drag-outd-01; 5; 8; 125000; 1374
2022-05-05 00:55:54; hka-aqm-n005;  21.94;  44.26;   465;   779;    12;     1;  -102;  -102;  11.0; drag-outd-01; 7; 8; 125000; 1375
2022-05-05 01:11:00; hka-aqm-n005;  21.96;  44.13;   462;   728;    13;     2;  -108;  -108;   8.0; drag-outd-01; 4; 8; 125000; 1376
2022-05-05 01:26:06; hka-aqm-n005;  21.98;  44.16;   465;   691;    12;     1;  -100;  -100;   8.5; drag-outd-01; 6; 8; 125000; 1377
2022-05-05 01:41:14; hka-aqm-n005;  22.00;  44.07;   474;   705;    13;     2;  -116;  -116;  -1.8; drag-lps8-02; 0; 8; 125000; 1378
2022-05-05 01:56:20; hka-aqm-n005;  22.02;  43.94;   463;   717;    12;     1;   -93;   -93;   7.8; drag-outd-01; 2; 8; 125000; 1379
2022-05-05 02:11:27; hka-aqm-n005;  22.04;  44.03;   467;   721;    12;     1;  -112;  -112;  -6.5; drag-lps8-02; 3; 8; 125000; 1380
2022-05-05 02:26:33; hka-aqm-n005;  22.02;  43.90;   462;   706;    12;     1;  -109;  -109;   1.5; drag-lps8-02; 4; 8; 125000; 1381
2022-05-05 02:41:40; hka-aqm-n005;  22.03;  43.97;   471;   814;    13;     1;  -119;  -119; -10.8; drag-lps8-02; 1; 8; 125000; 1382
2022-05-05 02:56:46; hka-aqm-n005;  22.00;  43.77;   465;   739;    12;     1;  -112;  -112;  -6.0; drag-lps8-02; 6; 8; 125000; 1383
2022-05-05 03:11:53; hka-aqm-n005;  21.99;  43.97;   465;   822;    13;     2;  -106;  -106;   2.5; drag-lps8-02; 5; 8; 125000; 1384
2022-05-05 03:26:59; hka-aqm-n005;  21.96;  44.07;   467;   735;    12;     1;  -118;  -118;  -5.5; drag-lps8-02; 7; 8; 125000; 1385
2022-05-05 03:42:05; hka-aqm-n005;  21.89;  44.29;   478;   750;    12;     1;  -120;  -120;  -5.5; drag-lps8-02; 0; 8; 125000; 1386
2022-05-05 03:57:11; hka-aqm-n005;  21.85;  44.46;   472;   753;    12;     1;   -97;   -97;  10.0; drag-outd-01; 1; 8; 125000; 1387
2022-05-05 04:12:18; hka-aqm-n005;  21.80;  44.52;   471;   720;    13;     2;  -113;  -113;  -6.8; drag-lps8-02; 3; 8; 125000; 1388
2022-05-05 04:27:24; hka-aqm-n005;  21.78;  44.71;   468;   682;    12;     1;  -116;  -116;  -7.2; drag-lps8-02; 2; 8; 125000; 1389
2022-05-05 04:42:30; hka-aqm-n005;  21.77;  44.78;   472;   732;    12;     1;  -118;  -118;  -5.0; drag-lps8-02; 7; 8; 125000; 1390
2022-05-05 04:57:36; hka-aqm-n005;  21.76;  44.75;   466;   705;    12;     1;  -106;  -106;   0.8; drag-lps8-02; 4; 8; 125000; 1391
2022-05-05 05:12:42; hka-aqm-n005;  21.76;  44.78;   465;   691;    12;     1;  -103;  -103;   9.8; drag-outd-01; 6; 8; 125000; 1392
2022-05-05 05:27:48; hka-aqm-n005;  21.73;  44.78;   465;   726;    12;     1;  -105;  -105;   2.5; drag-lps8-02; 5; 8; 125000; 1393
2022-05-05 05:42:55; hka-aqm-n005;  21.74;  44.84;   468;   700;    12;     1;  -113;  -113;  -7.0; drag-lps8-02; 6; 8; 125000; 1394
2022-05-05 05:58:01; hka-aqm-n005;  21.65;  44.84;   471;   714;    14;     2;  -106;  -106;   1.8; drag-lps8-02; 4; 8; 125000; 1395
2022-05-05 06:13:07; hka-aqm-n005;  21.65;  44.71;   469;   751;    14;     1;  -103;  -103;   6.5; drag-outd-01; 5; 8; 125000; 1396
2022-05-05 06:28:15; hka-aqm-n005;  21.64;  44.97;   476;   804;    15;     2;  -112;  -112;  -5.5; drag-lps8-02; 1; 8; 125000; 1397
2022-05-05 06:43:21; hka-aqm-n005;  21.62;  44.97;   469;   818;    19;     3;  -112;  -112;   0.2; drag-lps8-02; 0; 8; 125000; 1398
2022-05-05 06:58:28; hka-aqm-n005;  21.62;  44.84;   468;   716;    24;     6;   -95;   -95;   8.5; drag-outd-01; 2; 8; 125000; 1399
2022-05-05 07:13:35; hka-aqm-n005;  21.67;  44.88;   469;   764;    30;     8;  -105;  -105;   8.2; drag-outd-01; 3; 8; 125000; 1400
2022-05-05 07:28:42; hka-aqm-n005;  21.72;  44.62;   468;   776;    25;     6;  -112;  -112;   0.5; drag-lps8-02; 7; 8; 125000; 1401
2022-05-05 07:43:48; hka-aqm-n005;  21.74;  44.49;   474;   763;    30;     8;  -112;  -112;  -4.5; drag-lps8-02; 1; 8; 125000; 1402
2022-05-05 07:58:54; hka-aqm-n005;  21.78;  44.46;   477;   686;    34;     9;  -109;  -109; nan; drag-lps8-02; 7; 8; 125000; 1403
2022-05-05 08:14:00; hka-aqm-n005;  21.80;  44.46;   471;   775;    29;     8;  -116;  -116;  -7.0; drag-lps8-02; 2; 8; 125000; 1404
2022-05-05 08:29:06; hka-aqm-n005;  21.82;  44.23;   471;   801;    29;     7;  -107;  -107;   2.5; drag-lps8-02; 5; 8; 125000; 1405
2022-05-05 08:44:12; hka-aqm-n005;  21.79;  44.39;   477;   786;    32;     8;  -108;  -108;  -2.5; drag-lps8-02; 6; 8; 125000; 1406
2022-05-05 08:59:18; hka-aqm-n005;  21.80;  44.26;   474;   747;    51;    15;  -111;  -111;   1.8; drag-lps8-02; 0; 8; 125000; 1407
2022-05-05 09:14:25; hka-aqm-n005;  21.82;  44.13;   468;   686;    56;    17;  -105;  -105;   8.0; drag-outd-01; 4; 8; 125000; 1408
2022-05-05 09:29:31; hka-aqm-n005;  21.86;  44.13;   475;   685;    60;    19;  -106;  -106;   8.0; drag-outd-01; 3; 8; 125000; 1409
2022-05-05 09:44:37; hka-aqm-n005;  21.86;  44.10;   465;   666;    54;    17;  -115;  -115;  -5.8; drag-lps8-02; 2; 8; 125000; 1410
2022-05-05 09:59:43; hka-aqm-n005;  21.87;  44.33;   467;   797;    36;    10;  -113;  -113;  -1.0; drag-lps8-02; 7; 8; 125000; 1411
2022-05-05 10:14:49; hka-aqm-n005;  21.81;  44.52;   465;   753;    45;    13;  -106;  -106;   6.0; drag-outd-01; 5; 8; 125000; 1412
2022-05-05 10:29:56; hka-aqm-n005;  21.79;  44.59;   468;   698;    48;    13;  -115;  -115;  -2.2; drag-lps8-02; 0; 8; 125000; 1413
2022-05-05 10:45:02; hka-aqm-n005;  21.74;  44.55;   468;   781;    35;     9;  -102;  -102;  10.0; drag-outd-01; 1; 8; 125000; 1414
2022-05-05 11:00:08; hka-aqm-n005;  21.69;  45.04;   462;   745;    31;     7;  -112;  -112;  -7.0; drag-lps8-02; 3; 8; 125000; 1415
2022-05-05 11:15:15; hka-aqm-n005;  21.66;  45.17;   464;   656;    29;     7;  -106;  -106;   9.0; drag-outd-01; 4; 8; 125000; 1416
2022-05-05 11:30:21; hka-aqm-n005;  21.63;  45.43;   462;   748;    30;     7;  -108;  -108;   8.0; drag-outd-01; 6; 8; 125000; 1417
2022-05-05 11:45:27; hka-aqm-n005;  21.57;  45.43;   462;   772;    30;     8;  -110;  -110;  -6.2; drag-lps8-02; 3; 8; 125000; 1418
2022-05-05 12:00:33; hka-aqm-n005;  21.52;  45.56;   462;   722;    30;     7;  -112;  -112;  -1.0; drag-lps8-02; 7; 8; 125000; 1419
2022-05-05 12:15:39; hka-aqm-n005;  21.48;  45.49;   462;   730;    25;     5;  -103;  -103;   8.5; drag-outd-01; 1; 8; 125000; 1420
