# Logfile LoRaWAN TTN/TTS V3 logger version hka-log V 1.1
date_time;device_id;tmp;hum;CO2;VOC;vis;IR;WIFI;BLE;rssi;channel_rssi;snr;gateway;channel_index;spreading_factor;bandwidth;f_cnt
2023-06-29 15:32:36; hka-aqm-n203;  24.15;  47.07;   435;   863;    29;     9;     1;     6;   -73;   -73;   7.2; drag-lps8-01; 2; 7; 125000; 691
2023-06-29 15:47:43; hka-aqm-n203;  23.93;  47.94;   429;   762;    32;    10;     3;    27;   -75;   -75;   9.5; drag-lps8-01; 1; 7; 125000; 692
2023-06-29 16:02:49; hka-aqm-n203;  23.85;  47.81;   436;   684;    19;     5;     3;    27;   -77;   -77;  10.2; drag-lps8-01; 7; 7; 125000; 693
2023-06-29 16:17:56; hka-aqm-n203;  23.84;  47.90;   418;   681;    18;     6;     0;    12;   -75;   -75;   9.0; drag-lps8-01; 4; 7; 125000; 694
2023-06-29 16:33:03; hka-aqm-n203;  23.86;  48.90;   418;   813;    16;     4;     3;    27;   -76;   -76;   9.5; drag-lps8-01; 0; 7; 125000; 695
2023-06-29 16:48:10; hka-aqm-n203;  23.77;  53.40;   439;   856;    19;     5;     3;    27;   -78;   -78;   9.5; drag-lps8-01; 3; 7; 125000; 696
2023-06-29 17:03:16; hka-aqm-n203;  23.73;  55.98;   425;   887;    35;    10;     1;     7;   -75;   -75;   8.2; drag-lps8-01; 6; 7; 125000; 697
2023-06-29 17:18:22; hka-aqm-n203;  23.82;  56.88;   427;   966;    43;    12;     3;    27;   -75;   -75;   9.2; drag-lps8-01; 4; 7; 125000; 698
2023-06-29 17:33:28; hka-aqm-n203;  23.78;  55.60;   429;   856;    42;    12;     3;    27;   -75;   -75;  10.0; drag-lps8-01; 0; 7; 125000; 699
2023-06-29 17:48:35; hka-aqm-n203;  23.79;  53.40;   418;   740;    72;    22;     3;    27;   -71;   -71;   7.5; drag-lps8-01; 2; 7; 125000; 700
2023-06-29 18:03:43; hka-aqm-n203;  23.83;  51.76;   433;   680;    33;    10;     3;    27;   -75;   -75;   8.5; drag-lps8-01; 6; 7; 125000; 701
2023-06-29 18:18:49; hka-aqm-n203;  23.81;  51.76;   449;   793;    37;    10;     3;    27;   -72;   -72;   8.8; drag-lps8-01; 7; 7; 125000; 702
2023-06-29 18:33:55; hka-aqm-n203;  23.92;  51.29;   440;   786;    35;     9;     0;     3;   -75;   -75;   9.5; drag-lps8-01; 1; 7; 125000; 703
2023-06-29 18:49:02; hka-aqm-n203;  23.94;  50.75;   438;   789;    43;    12;     3;    27;   -77;   -77;  10.0; drag-lps8-01; 3; 7; 125000; 704
2023-06-29 19:04:08; hka-aqm-n203;  24.10;  50.21;   456;   901;    39;    11;     3;    27;   -78;   -78;   6.8; drag-lps8-01; 5; 7; 125000; 705
2023-06-29 19:19:14; hka-aqm-n203;  24.09;  50.71;   441;   828;    11;     2;     3;    27;   -73;   -73;   8.5; drag-lps8-01; 6; 7; 125000; 706
2023-06-29 19:34:23; hka-aqm-n203;  24.03;  51.22;   424;   702;    24;     7;     3;    27;   -75;   -75;   9.5; drag-lps8-01; 1; 7; 125000; 707
2023-06-29 19:49:36; hka-aqm-n203;  24.06;  52.33;   439;   900;    10;     2;     2;     2;   -77;   -77;   7.5; drag-lps8-01; 5; 7; 125000; 709
2023-06-29 20:04:43; hka-aqm-n203;  24.03;  53.44;   472;   912;     9;     1;     3;    27;   -74;   -74;   8.5; drag-lps8-01; 4; 7; 125000; 710
2023-06-29 20:19:56; hka-aqm-n203;  24.02;  54.07;   451;  1005;     9;     1;     1;     1;   -73;   -73;   8.2; drag-lps8-01; 3; 7; 125000; 712
2023-06-29 20:35:03; hka-aqm-n203;  23.96;  54.41;   462;   943;     9;     1;     3;    27;   -75;   -75;   9.5; drag-lps8-01; 0; 7; 125000; 713
2023-06-29 20:50:09; hka-aqm-n203;  23.94;  54.44;   430;   913;     8;     1;     3;    27;   -73;   -73;   7.2; drag-lps8-01; 5; 7; 125000; 714
2023-06-29 22:14:41; hka-aqm-n203;  23.72;  55.70;   457;   465;     7;     1;     1;     1;   -69;   -69;   6.8; drag-lps8-01; 2; 7; 125000; 1
2023-06-29 22:29:48; hka-aqm-n203;  24.02;  54.41;   457;   560;     7;     1;     1;     0;   -73;   -73;   9.5; drag-lps8-01; 7; 7; 125000; 2
2023-06-29 22:44:54; hka-aqm-n203;  24.08;  54.35;   451;   549;     7;     1;     2;     0;   -73;   -73;   8.8; drag-lps8-01; 4; 7; 125000; 3
2023-06-29 23:00:00; hka-aqm-n203;  24.04;  54.91;   449;   510;     7;     1;     1;     0;   -75;   -75;   7.0; drag-lps8-01; 5; 7; 125000; 4
2023-06-29 23:15:06; hka-aqm-n203;  24.00;  55.41;   450;   506;     7;     1;     2;     0;   -73;   -73;   8.8; drag-lps8-01; 6; 7; 125000; 5
2023-06-29 23:30:13; hka-aqm-n203;  24.00;  55.82;   449;   529;     8;     2;     0;     0;   -75;   -75;   9.2; drag-lps8-01; 3; 7; 125000; 6
2023-06-29 23:45:19; hka-aqm-n203;  23.98;  55.82;   465;   543;     7;     1;     2;     2;   -75;   -75;   8.2; drag-lps8-01; 0; 7; 125000; 7
