# Logfile LoRaWAN TTN/TTS V3 logger version hka-log V 1.0
date_time;device_id;tmp;hum;CO2;VOC;vis;IR;rssi;channel_rssi;snr;gateway;channel_index;spreading_factor;bandwidth;f_cnt
2022-05-10 00:09:04; hka-aqm-n005;  24.17;  42.64;   558;   849;    12;     1;  -109;  -109;   6.8; drag-outd-01; 3; 8; 125000; 2087
2022-05-10 00:24:11; hka-aqm-n005;  24.09;  42.83;   546;   857;    13;     2;  -106;  -106;   9.0; drag-outd-01; 0; 8; 125000; 2088
2022-05-10 00:39:17; hka-aqm-n005;  24.02;  42.96;   543;   818;    12;     1;  -108;  -108;   4.5; drag-outd-01; 5; 8; 125000; 2089
2022-05-10 00:54:24; hka-aqm-n005;  23.90;  43.16;   540;   854;    12;     1;  -100;  -100;   7.5; drag-outd-01; 2; 8; 125000; 2090
2022-05-10 01:09:30; hka-aqm-n005;  23.80;  43.35;   541;   768;    12;     1;  -105;  -105;   9.2; drag-outd-01; 0; 8; 125000; 2091
2022-05-10 01:24:37; hka-aqm-n005;  23.70;  43.61;   541;   854;    12;     1;  -115;  -115;  -3.8; drag-lps8-02; 4; 8; 125000; 2092
2022-05-10 01:39:43; hka-aqm-n005;  23.65;  43.77;   541;   780;    12;     1;  -124;  -124; -11.2; drag-lps8-02; 7; 8; 125000; 2093
2022-05-10 01:54:49; hka-aqm-n005;  23.55;  43.94;   542;   807;    12;     1;  -116;  -116; -11.2; drag-lps8-02; 3; 8; 125000; 2094
2022-05-10 02:09:55; hka-aqm-n005;  23.50;  44.00;   535;   732;    13;     2;  -108;  -108;  -2.2; drag-outd-01; 5; 8; 125000; 2095
2022-05-10 02:25:02; hka-aqm-n005;  23.43;  44.16;   535;   787;    12;     1;  -106;  -106;   8.8; drag-outd-01; 6; 8; 125000; 2096
2022-05-10 02:40:08; hka-aqm-n005;  23.34;  44.36;   533;   759;    13;     1;  -102;  -102;   8.5; drag-outd-01; 1; 8; 125000; 2097
2022-05-10 02:55:14; hka-aqm-n005;  23.25;  44.46;   537;   741;    12;     1;  -117;  -117;  -4.2; drag-lps8-02; 5; 8; 125000; 2098
2022-05-10 03:10:20; hka-aqm-n005;  23.21;  44.52;   529;   730;    12;     1;  -109;  -109;   6.8; drag-outd-01; 4; 8; 125000; 2099
2022-05-10 03:25:26; hka-aqm-n005;  23.17;  44.55;   529;   728;    12;     1;  -112;  -112;   7.2; drag-outd-01; 3; 8; 125000; 2100
2022-05-10 03:40:32; hka-aqm-n005;  23.13;  44.65;   528;   715;    12;     1;  -102;  -102;   9.8; drag-outd-01; 0; 8; 125000; 2101
2022-05-10 03:55:39; hka-aqm-n005;  23.02;  44.81;   528;   707;    12;     1;  -108;  -108;   8.5; drag-outd-01; 6; 8; 125000; 2102
2022-05-10 04:10:45; hka-aqm-n005;  22.95;  44.94;   525;   708;    12;     1;  -102;  -102;   6.8; drag-outd-01; 2; 8; 125000; 2103
2022-05-10 04:25:51; hka-aqm-n005;  22.92;  44.94;   531;   651;    13;     1;  -106;  -106;   7.8; drag-outd-01; 7; 8; 125000; 2104
2022-05-10 04:40:58; hka-aqm-n005;  22.91;  44.81;   526;   669;    13;     2;  -103;  -103;   9.2; drag-outd-01; 1; 8; 125000; 2105
2022-05-10 04:56:04; hka-aqm-n005;  22.86;  44.88;   522;   657;    12;     1;  -118;  -118; -12.0; drag-lps8-02; 6; 8; 125000; 2106
2022-05-10 05:11:10; hka-aqm-n005;  22.75;  45.17;   523;   677;    12;     1;  -108;  -108;   6.5; drag-outd-01; 4; 8; 125000; 2107
2022-05-10 05:26:16; hka-aqm-n005;  22.66;  45.30;   522;   655;    13;     2;  -107;  -107;   8.5; drag-outd-01; 7; 8; 125000; 2108
2022-05-10 05:41:22; hka-aqm-n005;  22.55;  45.49;   522;   649;    13;     1;  -102;  -102;   7.5; drag-outd-01; 2; 8; 125000; 2109
2022-05-10 05:56:28; hka-aqm-n005;  22.51;  45.49;   522;   639;    15;     2;  -113;  -113;  -7.8; drag-lps8-02; 3; 8; 125000; 2110
2022-05-10 06:11:35; hka-aqm-n005;  22.45;  45.59;   524;   676;    19;     3;  -119;  -119; -12.0; drag-lps8-02; 1; 8; 125000; 2111
2022-05-10 06:26:41; hka-aqm-n005;  22.41;  45.62;   520;   634;    24;     5;  -111;  -111;  -0.2; drag-lps8-02; 5; 8; 125000; 2112
2022-05-10 06:41:47; hka-aqm-n005;  22.44;  45.62;   522;   688;    28;     6;  -115;  -115;  -1.8; drag-lps8-02; 0; 8; 125000; 2113
2022-05-10 06:56:53; hka-aqm-n005;  22.45;  45.62;   522;   628;    33;     9;  -110;  -110;  -4.5; drag-lps8-02; 6; 8; 125000; 2114
2022-05-10 07:11:59; hka-aqm-n005;  22.49;  45.59;   527;   706;    40;    11;  -105;  -105;   8.0; drag-outd-01; 0; 8; 125000; 2115
2022-05-10 07:27:05; hka-aqm-n005;  22.58;  45.46;   522;   657;    48;    14;  -103;  -103;   7.5; drag-outd-01; 2; 8; 125000; 2116
2022-05-10 07:42:12; hka-aqm-n005;  22.68;  45.30;   526;   658;    53;    15;  -112;  -112;   7.5; drag-outd-01; 3; 8; 125000; 2117
2022-05-10 07:57:20; hka-aqm-n005;  22.83;  44.97;   530;   693;    58;    17;  -117;  -117;  -6.2; drag-lps8-02; 7; 8; 125000; 2118
2022-05-10 08:12:26; hka-aqm-n005;  23.01;  44.55;   516;   689;    54;    15;  -108;  -108;  -0.5; drag-outd-01; 5; 8; 125000; 2119
2022-05-10 08:27:32; hka-aqm-n005;  23.10;  44.16;   517;   709;    52;    14;   -98;   -98;   9.0; drag-outd-01; 1; 8; 125000; 2120
2022-05-10 08:42:40; hka-aqm-n005;  23.21;  43.87;   511;   687;    60;    17;  -109;  -109;   6.2; drag-outd-01; 4; 8; 125000; 2121
2022-05-10 08:57:46; hka-aqm-n005;  23.28;  43.61;   507;   671;    57;    16;  -111;  -111;   7.2; drag-outd-01; 7; 8; 125000; 2122
2022-05-10 09:12:52; hka-aqm-n005;  23.33;  43.35;   508;   671;    56;    15;   -99;   -99;   6.8; drag-outd-01; 5; 8; 125000; 2123
2022-05-10 09:28:00; hka-aqm-n005;  23.42;  43.22;   511;   718;    58;    16;  -109;  -109;   7.0; drag-outd-01; 6; 8; 125000; 2124
2022-05-10 09:43:06; hka-aqm-n005;  23.49;  43.03;   519;   678;    65;    18;   -99;   -99;   7.8; drag-outd-01; 2; 8; 125000; 2125
2022-05-10 09:58:12; hka-aqm-n005;  23.57;  43.09;   502;   669;    60;    16;  -115;  -115;  -3.8; drag-lps8-02; 4; 8; 125000; 2126
2022-05-10 10:13:20; hka-aqm-n005;  23.60;  42.64;   504;   696;    56;    14;  -120;  -120;  -7.5; drag-lps8-02; 0; 8; 125000; 2127
2022-05-10 10:28:26; hka-aqm-n005;  23.67;  42.44;   508;   714;    62;    16;  -118;  -118; -10.0; drag-lps8-02; 1; 8; 125000; 2128
2022-05-10 10:43:33; hka-aqm-n005;  23.76;  42.24;   509;   728;    66;    17;  -114;  -114;  -9.5; drag-lps8-02; 3; 8; 125000; 2129
2022-05-10 10:58:39; hka-aqm-n005;  23.83;  42.05;   506;   717;    77;    21;  -110;  -110;   4.0; drag-outd-01; 6; 8; 125000; 2130
2022-05-10 11:13:46; hka-aqm-n005;  23.94;  41.85;   508;   705;    82;    23;  -111;  -111;   7.8; drag-outd-01; 0; 8; 125000; 2131
2022-05-10 11:28:52; hka-aqm-n005;  24.05;  41.46;   504;   708;   250;    82;  -105;  -105;   5.8; drag-outd-01; 5; 8; 125000; 2132
2022-05-10 11:29:59; hka-aqm-n005;  24.04;  41.43;   505;   713;   452;   156;  -114;  -114;  -6.5; drag-lps8-02; 1; 8; 125000; 2133
2022-05-10 11:30:38; hka-aqm-n005;  24.01;  41.40;   508;   772;   731;   259;  -112;  -112;   4.8; drag-outd-01; 7; 8; 125000; 2134
2022-05-10 11:31:00; hka-aqm-n005;  24.03;  41.46;   504;   749;  1306;   470;   -99;   -99;  10.2; drag-outd-01; 3; 8; 125000; 2135
2022-05-10 11:31:19; hka-aqm-n005;  24.08;  41.36;   503;   742;  1581;   571;  -107;  -107;   5.2; drag-outd-01; 2; 8; 125000; 2136
2022-05-10 11:31:40; hka-aqm-n005;  24.10;  41.26;   502;   753;  1813;   658;  -108;  -108;   7.0; drag-outd-01; 4; 8; 125000; 2137
2022-05-10 11:32:00; hka-aqm-n005;  24.12;  41.20;   501;   679;  1913;   697;  -116;  -116;  -6.8; drag-lps8-02; 2; 8; 125000; 2138
2022-05-10 11:47:06; hka-aqm-n005;  25.78;  38.18;   506;   704;  1439;   508;  -113;  -113;   5.0; drag-outd-01; 0; 8; 125000; 2139
2022-05-10 11:47:20; hka-aqm-n005;  25.82;  38.04;   504;   715;  1354;   478;  -118;  -118;  -6.2; drag-lps8-02; 7; 8; 125000; 2140
2022-05-10 12:02:26; hka-aqm-n005;  27.59;  34.32;   506;   738;   922;   315;  -116;  -116; -10.8; drag-lps8-02; 3; 8; 125000; 2141
2022-05-10 12:04:40; hka-aqm-n005;  27.79;  33.92;   504;   690;   817;   278;  -114;  -114;  -2.8; drag-lps8-02; 4; 8; 125000; 2142
2022-05-10 12:19:46; hka-aqm-n005;  28.87;  32.08;   497;   795;   649;   226;  -114;  -114;  -1.0; drag-lps8-02; 5; 8; 125000; 2143
2022-05-10 12:32:21; hka-aqm-n005;  28.95;  31.64;   498;   791;   356;   124;  -103;  -103;   9.2; drag-outd-01; 1; 8; 125000; 2144
2022-05-10 12:32:40; hka-aqm-n005;  28.92;  31.64;   498;   777;   300;   104;  -107;  -107;   7.2; drag-outd-01; 6; 8; 125000; 2145
2022-05-10 12:47:46; hka-aqm-n005;  28.27;  32.72;   505;   706;   185;    66;  -119;  -119;  -8.0; drag-lps8-02; 4; 8; 125000; 2146
2022-05-10 13:02:53; hka-aqm-n005;  27.81;  33.82;   497;   748;   194;    71;  -108;  -108;   8.0; drag-outd-01; 7; 8; 125000; 2147
2022-05-10 13:18:01; hka-aqm-n005;  27.29;  34.59;   500;   748;   171;    63;  -115;  -115;  -3.2; drag-lps8-02; 5; 8; 125000; 2148
2022-05-10 13:33:07; hka-aqm-n005;  27.02;  35.26;   493;   746;   184;    69;  -107;  -107;   8.8; drag-outd-01; 3; 8; 125000; 2149
2022-05-10 13:48:13; hka-aqm-n005;  26.78;  35.59;   493;   750;   184;    69;  -118;  -118;  -6.2; drag-lps8-02; 0; 8; 125000; 2150
