# Logfile LoRaWAN TTN/TTS V3 logger version hka-log V 1.1
date_time;device_id;tmp;hum;CO2;VOC;vis;IR;WIFI;BLE;rssi;channel_rssi;snr;gateway;channel_index;spreading_factor;bandwidth;f_cnt
2022-09-17 00:01:54; hka-aqm-n203;  24.42;  37.45;   422;   615;     6;     0;     2;     0;   -60;   -60;   8.2; drag-lps8-01; 6; 7; 125000; 289
2022-09-17 00:17:01; hka-aqm-n203;  24.49;  37.15;   412;   666;     6;     0;     2;     0;   -63;   -63;   9.5; drag-lps8-01; 1; 7; 125000; 290
2022-09-17 00:32:07; hka-aqm-n203;  24.49;  37.28;   412;   627;     6;     0;     2;     0;   -67;   -67;   7.2; drag-lps8-01; 5; 7; 125000; 291
2022-09-17 00:47:13; hka-aqm-n203;  24.46;  37.32;   407;   638;     6;     1;     2;     0;   -63;   -63;   9.2; drag-lps8-01; 7; 7; 125000; 292
2022-09-17 01:02:19; hka-aqm-n203;  24.39;  37.51;   408;   621;     6;     2;     2;     0;   -63;   -63;   9.2; drag-lps8-01; 3; 7; 125000; 293
2022-09-17 01:17:26; hka-aqm-n203;  24.35;  37.55;   409;   592;     6;     0;     1;     0;   -61;   -61;   7.5; drag-lps8-01; 5; 7; 125000; 294
2022-09-17 01:32:32; hka-aqm-n203;  24.38;  37.51;   409;   598;     9;     3;     2;     0;   -63;   -63;  10.0; drag-lps8-01; 7; 7; 125000; 295
2022-09-17 01:47:38; hka-aqm-n203;  24.34;  37.25;   413;   615;     6;     1;     2;     0;   -61;   -61;   8.2; drag-lps8-01; 6; 7; 125000; 296
2022-09-17 02:02:51; hka-aqm-n203;  24.30;  36.92;   413;   624;     7;     1;     2;     0;   -63;   -63;   8.5; drag-lps8-01; 0; 7; 125000; 298
2022-09-17 02:18:04; hka-aqm-n203;  24.30;  36.65;   415;   600;     6;     0;     2;     0;   -61;   -61;   9.0; drag-lps8-01; 1; 7; 125000; 300
2022-09-17 02:33:10; hka-aqm-n203;  24.30;  36.49;   411;   550;     8;     2;     2;     0;   -66;   -66;   7.5; drag-lps8-01; 2; 7; 125000; 301
2022-09-17 02:48:16; hka-aqm-n203;  24.30;  36.39;   411;   598;     6;     2;     2;     0;   -61;   -61;   7.8; drag-lps8-01; 7; 7; 125000; 302
2022-09-17 03:03:22; hka-aqm-n203;  24.28;  36.45;   426;   609;     6;     2;     2;     0;   -60;   -60;   8.5; drag-lps8-01; 4; 7; 125000; 303
2022-09-17 03:18:29; hka-aqm-n203;  24.29;  36.65;   424;   619;     9;     3;     2;     0;   -63;   -63;  10.2; drag-lps8-01; 0; 7; 125000; 304
