# Logfile LoRaWAN TTN/TTS V3 logger version hka-log V 1.0
date_time;device_id;tmp;hum;CO2;VOC;vis;IR;rssi;channel_rssi;snr;gateway;channel_index;spreading_factor;bandwidth;f_cnt
2022-04-26 00:00:21; hka-aqm-n005;  20.55;  46.65;   529;   773;    13;     1;   -91;   -91;   9.8; drag-outd-01; 0; 7; 125000; 26
2022-04-26 00:15:29; hka-aqm-n005;  20.51;  46.75;   521;   736;    13;     1;   -97;   -97;   6.5; drag-lps8-02; 6; 7; 125000; 27
2022-04-26 00:30:35; hka-aqm-n005;  20.54;  46.59;   524;   739;    12;     1;   -87;   -87;   6.5; drag-outd-01; 2; 7; 125000; 28
2022-04-26 00:45:42; hka-aqm-n005;  20.50;  46.59;   524;   757;    12;     1;   -96;   -96;   8.5; drag-lps8-02; 4; 7; 125000; 29
2022-04-26 01:00:49; hka-aqm-n005;  20.52;  46.59;   516;   742;    12;     1;   -81;   -81;   9.8; drag-outd-01; 1; 7; 125000; 30
2022-04-26 01:15:55; hka-aqm-n005;  20.60;  46.27;   513;   723;    12;     1;   -91;   -91;   6.5; drag-outd-01; 5; 7; 125000; 31
2022-04-26 01:31:01; hka-aqm-n005;  20.65;  46.14;   513;   653;    12;     1;   -95;   -95;   9.5; drag-outd-01; 3; 7; 125000; 32
2022-04-26 01:46:07; hka-aqm-n005;  20.64;  46.14;   503;   735;    12;     1;  -100;  -100;   7.5; drag-lps8-02; 7; 7; 125000; 33
2022-04-26 02:01:13; hka-aqm-n005;  20.67;  46.10;   503;   752;    12;     1;   -97;   -97;   8.8; drag-outd-01; 6; 7; 125000; 34
2022-04-26 02:16:19; hka-aqm-n005;  20.62;  46.14;   498;   777;    13;     1;  -101;  -101;   5.0; drag-lps8-02; 1; 7; 125000; 35
2022-04-26 02:31:25; hka-aqm-n005;  20.60;  46.20;   494;   723;    12;     1;  -102;  -102;   7.8; drag-lps8-02; 0; 7; 125000; 36
2022-04-26 02:46:31; hka-aqm-n005;  20.54;  46.33;   493;   740;    13;     1;   -97;   -97;   6.5; drag-lps8-02; 5; 7; 125000; 37
2022-04-26 03:01:37; hka-aqm-n005;  20.51;  46.49;   501;   738;    12;     1;  -103;  -103;   8.0; drag-outd-01; 3; 7; 125000; 38
2022-04-26 03:16:43; hka-aqm-n005;  20.50;  46.59;   492;   739;    12;     1;   -97;   -97;   8.8; drag-lps8-02; 4; 7; 125000; 39
2022-04-26 03:31:51; hka-aqm-n005;  20.49;  46.62;   490;   807;    12;     1;  -100;  -100;   6.5; drag-outd-01; 2; 7; 125000; 40
2022-04-26 03:46:57; hka-aqm-n005;  20.48;  46.62;   483;   772;    12;     1;  -105;  -105;   8.2; drag-outd-01; 7; 7; 125000; 41
2022-04-26 04:02:03; hka-aqm-n005;  20.49;  46.62;   478;   702;    12;     1;  -101;  -101;   8.5; drag-outd-01; 4; 7; 125000; 42
2022-04-26 04:17:09; hka-aqm-n005;  20.44;  46.68;   479;   732;    12;     1;  -102;  -102;   5.0; drag-lps8-02; 2; 7; 125000; 43
2022-04-26 04:32:21; hka-aqm-n005;  20.45;  46.78;   479;   733;    12;     1;  -101;  -101;   6.2; drag-lps8-02; 7; 7; 125000; 45
2022-04-26 04:47:34; hka-aqm-n005;  20.45;  46.46;   473;   763;    12;     1;   -99;   -99;   8.8; drag-outd-01; 3; 7; 125000; 47
2022-04-26 05:02:40; hka-aqm-n005;  20.42;  46.65;   474;   743;    12;     1;  -100;  -100;   8.8; drag-outd-01; 6; 7; 125000; 48
2022-04-26 05:17:46; hka-aqm-n005;  20.42;  46.65;   474;   848;    12;     1;   -97;   -97;   6.0; drag-lps8-02; 5; 7; 125000; 49
2022-04-26 05:32:52; hka-aqm-n005;  20.38;  46.75;   473;   735;    12;     1;   -96;   -96;  10.2; drag-outd-01; 0; 7; 125000; 50
2022-04-26 05:47:58; hka-aqm-n005;  20.32;  46.62;   467;   719;    12;     1;   -92;   -92;   8.2; drag-outd-01; 3; 7; 125000; 51
2022-04-26 06:03:04; hka-aqm-n005;  20.32;  46.59;   468;   831;    12;     1;   -91;   -91;   7.2; drag-outd-01; 5; 7; 125000; 52
2022-04-26 06:18:11; hka-aqm-n005;  20.36;  46.43;   463;   760;    14;     2;  -102;  -102;   4.5; drag-lps8-02; 1; 7; 125000; 53
