# Logfile LoRaWAN TTN/TTS V3 logger version hka-log V 1.1
date_time;device_id;tmp;hum;CO2;VOC;vis;IR;WIFI;BLE;rssi;channel_rssi;snr;gateway;channel_index;spreading_factor;bandwidth;f_cnt
2022-09-24 00:14:42; hka-aqm-n113;  27.03;  34.06;   455;  9997;     7;     2;     1;     0;   -79;   -79;  10.2; drag-lps8-01; 1; 7; 125000; 1859
2022-09-24 00:29:50; hka-aqm-n113;  27.10;  33.89;   456;  9996;     7;     2;     2;     2;   -83;   -83;   8.8; drag-lps8-01; 4; 7; 125000; 1860
2022-09-24 00:45:03; hka-aqm-n113;  27.19;  33.79;   461;  9996;     5;     0;     0;     0;   -79;   -79;   9.2; drag-lps8-01; 1; 7; 125000; 1862
2022-09-24 01:00:16; hka-aqm-n113;  27.12;  34.12;   458;  9997;     5;     0;     2;     2;   -81;   -81;   8.2; drag-lps8-01; 4; 7; 125000; 1864
2022-09-24 01:15:22; hka-aqm-n113;  27.15;  34.09;   457;  9997;     5;     1;     0;     0;   -80;   -80;   7.5; drag-lps8-01; 5; 7; 125000; 1865
2022-09-24 01:30:30; hka-aqm-n113;  27.04;  34.39;   477;  9996;     5;     0;     2;     2;   -77;   -77;   7.2; drag-lps8-01; 2; 7; 125000; 1866
2022-09-24 01:45:36; hka-aqm-n113;  27.04;  34.49;   459;  9996;     5;     0;     0;     0;   -85;   -85;   9.5; drag-lps8-01; 3; 7; 125000; 1867
2022-09-24 02:00:43; hka-aqm-n113;  27.14;  34.29;   447;  9997;     6;     1;     1;     0;   -80;   -80;   8.8; drag-lps8-01; 6; 7; 125000; 1868
2022-09-24 02:15:50; hka-aqm-n113;  27.30;  34.12;   452;  9997;     5;     0;     2;     2;   -79;   -79;   9.8; drag-lps8-01; 0; 7; 125000; 1869
2022-09-24 02:30:57; hka-aqm-n113;  27.35;  33.96;   444;  9997;     5;     0;     2;     0;   -83;   -83;   7.2; drag-lps8-01; 5; 7; 125000; 1870
2022-09-24 02:46:03; hka-aqm-n113;  27.38;  33.79;   438;  9997;     5;     0;     0;     0;   -79;   -79;   8.8; drag-lps8-01; 6; 7; 125000; 1871
2022-09-24 03:01:10; hka-aqm-n113;  27.39;  33.59;   446;  9996;     6;     1;     2;     2;   -82;   -82;   9.2; drag-lps8-01; 4; 7; 125000; 1872
2022-09-24 03:16:17; hka-aqm-n113;  27.20;  33.76;   450;  9996;     7;     2;     1;     0;   -78;   -78;   7.2; drag-lps8-01; 2; 7; 125000; 1873
2022-09-24 03:31:23; hka-aqm-n113;  27.24;  33.45;   448;  9997;     5;     0;     2;     0;   -84;   -84;   9.0; drag-lps8-01; 3; 7; 125000; 1874
2022-09-24 03:46:29; hka-aqm-n113;  27.12;  33.52;   449;  9997;     6;     1;     2;     2;   -81;   -81;   9.2; drag-lps8-01; 0; 7; 125000; 1875
2022-09-24 04:01:36; hka-aqm-n113;  27.17;  33.42;   461;  9996;     5;     0;     2;     2;   -82;   -82;  10.0; drag-lps8-01; 7; 7; 125000; 1876
2022-09-24 04:16:42; hka-aqm-n113;  27.00;  33.76;   458;  9996;     7;     2;     0;     0;   -79;   -79;   9.5; drag-lps8-01; 1; 7; 125000; 1877
2022-09-24 04:31:51; hka-aqm-n113;  27.15;  33.45;   450;  9997;     5;     0;     2;     2;   -82;   -82;  10.0; drag-lps8-01; 7; 7; 125000; 1878
2022-09-24 04:46:57; hka-aqm-n113;  27.02;  33.76;   456;  9997;     5;     1;     0;     0;   -84;   -84;   8.2; drag-lps8-01; 4; 7; 125000; 1879
